Date,1 week,1 month,3 month,6 month,12 month,,
1-Jul-19,-0.398,-0.392,-0.346,-0.313,-0.217,,
2-Jul-19,-0.397,-0.386,-0.351,-0.327,-0.233,,
3-Jul-19,-0.397,-0.39,-0.353,-0.335,-0.243,,
4-Jul-19,-0.396,-0.393,-0.354,-0.338,-0.258,,
5-Jul-19,-0.404,-0.394,-0.36,-0.344,-0.268,,
8-Jul-19,-0.398,-0.393,-0.356,-0.338,-0.258,,
9-Jul-19,-0.394,-0.389,-0.358,-0.336,-0.258,,
10-Jul-19,-0.396,-0.389,-0.358,-0.329,-0.253,,
11-Jul-19,-0.404,-0.394,-0.364,-0.342,-0.277,,
12-Jul-19,-0.399,-0.393,-0.363,-0.342,-0.28,,
15-Jul-19,-0.401,-0.393,-0.363,-0.343,-0.287,,
16-Jul-19,-0.398,-0.395,-0.367,-0.35,-0.286,,
17-Jul-19,-0.4,-0.397,-0.369,-0.357,-0.298,,
18-Jul-19,-0.401,-0.399,-0.37,-0.353,-0.303,,
19-Jul-19,-0.4,-0.403,-0.375,-0.354,-0.308,,
22-Jul-19,-0.401,-0.406,-0.374,-0.361,-0.307,,
23-Jul-19,-0.405,-0.407,-0.373,-0.362,-0.311,,
24-Jul-19,-0.417,-0.401,-0.376,-0.368,-0.321,,
25-Jul-19,-0.413,-0.401,-0.378,-0.368,-0.318,,
26-Jul-19,-0.405,-0.395,-0.368,-0.362,-0.314,,
29-Jul-19,-0.402,-0.394,-0.367,-0.351,-0.314,,
30-Jul-19,-0.402,-0.392,-0.374,-0.355,-0.301,,
31-Jul-19,-0.407,-0.392,-0.375,-0.362,-0.303,,
1-Aug-19,-0.414,-0.393,-0.377,-0.363,-0.3,,
1-Aug-19,-0.414,-0.393,-0.377,-0.363,-0.3,,
2-Aug-19,-0.411,-0.392,-0.38,-0.367,-0.304,,
2-Aug-19,-0.411,-0.392,-0.38,-0.367,-0.304,,
5-Aug-19,-0.407,-0.401,-0.384,-0.369,-0.308,,
5-Aug-19,-0.407,-0.401,-0.384,-0.369,-0.308,,
6-Aug-19,-0.415,-0.4,-0.389,-0.383,-0.319,,
6-Aug-19,-0.415,-0.4,-0.389,-0.383,-0.319,,
7-Aug-19,-0.403,-0.401,-0.39,-0.389,-0.322,,
7-Aug-19,-0.403,-0.401,-0.39,-0.389,-0.322,,
8-Aug-19,-0.407,-0.409,-0.398,-0.393,-0.339,,
8-Aug-19,-0.407,-0.409,-0.398,-0.393,-0.339,,
9-Aug-19,-0.408,-0.403,-0.404,-0.396,-0.343,,
9-Aug-19,-0.408,-0.403,-0.404,-0.396,-0.343,,
12-Aug-19,-0.404,-0.405,-0.4,-0.4,-0.352,,
12-Aug-19,-0.404,-0.405,-0.4,-0.4,-0.352,,
13-Aug-19,-0.408,-0.413,-0.402,-0.401,-0.357,,
13-Aug-19,-0.408,-0.413,-0.402,-0.401,-0.357,,
14-Aug-19,-0.404,-0.403,-0.406,-0.406,-0.35,,
14-Aug-19,-0.404,-0.403,-0.406,-0.406,-0.35,,
